223 at: 335.97  st: 335.97  vt: 18.18  dt: 354.15
227 at: 344.66  st: 346.78  vt: 7.66  dt: 354.44
229 at: 349.25  st: 349.25  vt: 10.73  dt: 359.98
230 at: 351.43  st: 351.43  vt: 12.67  dt: 364.10
232 at: 355.01  st: 355.01  vt: 9.16  dt: 364.18
237 at: 364.78  st: 364.78  vt: 0.67  dt: 365.44
224 at: 336.58  st: 336.58  vt: 32.86  dt: 369.44
239 at: 367.13  st: 369.44  vt: 0.24  dt: 369.68
240 at: 367.74  st: 369.68  vt: 4.11  dt: 373.79
236 at: 363.29  st: 364.10  vt: 10.93  dt: 375.03
231 at: 351.61  st: 351.61  vt: 25.50  dt: 377.12
241 at: 370.58  st: 373.79  vt: 5.86  dt: 379.65
213 at: 324.41  st: 326.25  vt: 53.91  dt: 380.16
242 at: 372.16  st: 375.03  vt: 5.68  dt: 380.71
244 at: 373.81  st: 379.65  vt: 1.27  dt: 380.92
234 at: 361.57  st: 361.57  vt: 20.23  dt: 381.80
235 at: 361.98  st: 361.98  vt: 21.46  dt: 383.44
238 at: 366.09  st: 366.09  vt: 20.66  dt: 386.75
233 at: 358.32  st: 358.32  vt: 29.07  dt: 387.39
248 at: 388.39  st: 388.39  vt: 3.80  dt: 392.19
246 at: 380.48  st: 380.71  vt: 12.69  dt: 393.40
247 at: 385.46  st: 385.46  vt: 8.18  dt: 393.64
245 at: 374.03  st: 380.16  vt: 15.02  dt: 395.18
251 at: 392.17  st: 392.17  vt: 3.39  dt: 395.56
253 at: 394.59  st: 394.59  vt: 1.22  dt: 395.80
250 at: 390.72  st: 390.72  vt: 5.94  dt: 396.67
249 at: 390.42  st: 390.42  vt: 8.29  dt: 398.71
243 at: 373.31  st: 377.12  vt: 22.42  dt: 399.53
254 at: 397.38  st: 397.38  vt: 5.29  dt: 402.67
252 at: 392.62  st: 392.62  vt: 10.25  dt: 402.87
258 at: 399.82  st: 399.82  vt: 4.95  dt: 404.77
256 at: 398.52  st: 398.52  vt: 6.39  dt: 404.91
257 at: 399.27  st: 399.27  vt: 5.96  dt: 405.23
255 at: 397.45  st: 397.45  vt: 10.81  dt: 408.27
260 at: 404.44  st: 404.44  vt: 4.06  dt: 408.51
259 at: 401.15  st: 401.15  vt: 7.89  dt: 409.04
264 at: 408.15  st: 408.15  vt: 1.14  dt: 409.29
262 at: 406.52  st: 406.52  vt: 3.29  dt: 409.81
261 at: 405.19  st: 405.19  vt: 5.41  dt: 410.60
265 at: 408.64  st: 408.64  vt: 3.26  dt: 411.90
263 at: 408.04  st: 408.04  vt: 4.53  dt: 412.58
268 at: 409.25  st: 409.25  vt: 4.00  dt: 413.24
270 at: 413.34  st: 413.34  vt: 0.58  dt: 413.91
269 at: 412.56  st: 412.56  vt: 2.84  dt: 415.39
267 at: 409.18  st: 409.18  vt: 7.03  dt: 416.22
271 at: 414.19  st: 414.19  vt: 4.26  dt: 418.45
266 at: 409.14  st: 409.14  vt: 13.39  dt: 422.53
275 at: 426.07  st: 426.07  vt: 2.92  dt: 428.99
