131 at: 190.15  st: 216.63  vt: 20.97  dt: 237.60
140 at: 201.09  st: 237.60  vt: 3.22  dt: 240.82
137 at: 195.49  st: 234.70  vt: 8.79  dt: 243.49
138 at: 195.65  st: 234.89  vt: 8.94  dt: 243.83
142 at: 201.28  st: 243.49  vt: 5.67  dt: 249.16
136 at: 194.97  st: 233.46  vt: 17.91  dt: 251.37
133 at: 192.17  st: 221.73  vt: 34.84  dt: 256.56
146 at: 208.56  st: 256.56  vt: 1.51  dt: 258.07
139 at: 196.20  st: 235.77  vt: 23.36  dt: 259.12
143 at: 202.27  st: 243.83  vt: 15.56  dt: 259.39
149 at: 214.70  st: 259.39  vt: 1.26  dt: 260.65
147 at: 212.24  st: 258.07  vt: 3.06  dt: 261.13
145 at: 205.71  st: 251.37  vt: 11.30  dt: 262.67
141 at: 201.12  st: 240.82  vt: 24.05  dt: 264.87
148 at: 213.10  st: 259.12  vt: 6.24  dt: 265.36
153 at: 221.64  st: 264.87  vt: 2.68  dt: 267.55
150 at: 216.87  st: 260.65  vt: 9.15  dt: 269.80
156 at: 224.22  st: 269.80  vt: 6.38  dt: 276.18
144 at: 203.10  st: 249.16  vt: 30.38  dt: 279.54
157 at: 226.90  st: 276.18  vt: 3.73  dt: 279.91
159 at: 231.41  st: 279.91  vt: 0.35  dt: 280.26
160 at: 233.30  st: 280.26  vt: 2.90  dt: 283.15
154 at: 222.74  st: 265.36  vt: 18.01  dt: 283.37
162 at: 234.12  st: 283.37  vt: 0.48  dt: 283.86
155 at: 222.76  st: 267.55  vt: 17.19  dt: 284.73
152 at: 220.89  st: 262.67  vt: 22.47  dt: 285.14
151 at: 218.93  st: 261.13  vt: 25.11  dt: 286.23
163 at: 235.38  st: 283.86  vt: 6.85  dt: 290.71
164 at: 239.40  st: 284.73  vt: 6.07  dt: 290.81
166 at: 241.86  st: 286.23  vt: 5.05  dt: 291.28
167 at: 242.19  st: 290.71  vt: 1.36  dt: 292.07
165 at: 241.08  st: 285.14  vt: 8.07  dt: 293.21
158 at: 226.97  st: 279.54  vt: 14.51  dt: 294.05
161 at: 233.61  st: 283.15  vt: 14.13  dt: 297.28
169 at: 244.19  st: 291.28  vt: 7.51  dt: 298.80
171 at: 245.73  st: 293.21  vt: 6.29  dt: 299.50
172 at: 250.22  st: 294.05  vt: 5.59  dt: 299.64
